Filename,check,status,detail
GLOBAL,expected_molecules_present,PASS,"missing=[]; observed=['Acetone_freq.hess', 'CH3CN_freq.hess', 'DMF_freq.hess', 'DMSO_freq.hess', 'EtOH_freq.hess', 'MeOH_freq.hess', 'NMP_freq.hess', 'iPrOH_freq.hess']"
Acetone_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,24 vs 24
Acetone_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
Acetone_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
CH3CN_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,12 vs 12
CH3CN_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
CH3CN_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
DMF_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,30 vs 30
DMF_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
DMF_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,2
DMSO_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,24 vs 24
DMSO_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
DMSO_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
EtOH_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,21 vs 21
EtOH_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
EtOH_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
MeOH_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,12 vs 12
MeOH_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
MeOH_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
NMP_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,42 vs 42
NMP_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
NMP_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
iPrOH_freq.hess,rank_B_independent_equals_expected_rank_3N_minus_6,PASS,30 vs 30
iPrOH_freq.hess,normal_mode_orientation_rule_reported,PASS,"PASS: uses normal_modes[:, mode].reshape(natoms, 3)"
iPrOH_freq.hess,no_negative_freq_after_first_6_unless_expected,PASS,0
CH3CN_freq.hess,must_detect_functional_group:nitrile_C≡N,PASS,"['methyl', 'nitrile_C≡N']"
CH3CN_freq.hess,must_detect_functional_group:methyl,PASS,"['methyl', 'nitrile_C≡N']"
