Filename,mode,frequency_cm-1,functional_group_assignment,assignment_confidence,assignment_confidence_score,top1_coord,top1_percent,warnings
Acetone_freq.hess,24,3027.657387725822,C-H stretch,low,36.8,methyl_CH_stretch(C3-H9),21.758,near_degenerate_within_10_cm-1; diffuse_internal_coordinate_contributions; mode_level_warning_present
Acetone_freq.hess,25,3033.7139538931365,C-H stretch,low,36.7,methyl_CH_stretch(C2-H7),21.448,near_degenerate_within_10_cm-1; diffuse_internal_coordinate_contributions; mode_level_warning_present
Acetone_freq.hess,26,3104.4598597762165,C-H stretch,medium,53.5,methyl_CH_stretch(C3-H10),27.818,near_degenerate_within_10_cm-1; mode_level_warning_present
Acetone_freq.hess,27,3111.1595344946563,C-H stretch,medium,53.5,methyl_CH_stretch(C2-H8),27.814,near_degenerate_within_10_cm-1; mode_level_warning_present
Acetone_freq.hess,28,3152.415455216976,C-H stretch,low,35.9,methyl_CH_stretch(C3-H4),44.867,near_degenerate_within_10_cm-1; imbalanced_XH2_pair_contributions; mode_level_warning_present
Acetone_freq.hess,29,3153.175576574548,C-H stretch,low,35.6,methyl_CH_stretch(C2-H6),44.284,near_degenerate_within_10_cm-1; imbalanced_XH2_pair_contributions; mode_level_warning_present
CH3CN_freq.hess,15,3047.6421325051165,C-H stretch,medium,65.0,methyl_CH_stretch(C1-H5),33.302,
CH3CN_freq.hess,16,3143.921862755699,C-H stretch,medium,65.5,methyl_CH_stretch(C1-H4),66.669,near_degenerate_within_10_cm-1; imbalanced_XH2_pair_contributions; mode_level_warning_present
CH3CN_freq.hess,17,3144.201158650852,C-H stretch,medium,63.6,methyl_CH_stretch(C1-H6),50.075,near_degenerate_within_10_cm-1; mode_level_warning_present
DMF_freq.hess,29,2960.0816267052546,C-H stretch,high,100.0,methine_CH_stretch(C1-H11),99.273,
DMF_freq.hess,30,3023.9645450175967,C-H stretch,medium,52.8,methyl_CH_stretch(C5-H9),26.075,near_degenerate_within_10_cm-1; mode_level_warning_present
DMF_freq.hess,31,3030.81243078864,C-H stretch,medium,52.9,methyl_CH_stretch(C4-H12),26.338,near_degenerate_within_10_cm-1; mode_level_warning_present
DMF_freq.hess,32,3092.9149566302303,C-H stretch,medium,63.5,methyl_CH_stretch(C5-H10),49.877,near_degenerate_within_10_cm-1; mode_level_warning_present
DMF_freq.hess,33,3099.1006011966047,C-H stretch,medium,63.4,methyl_CH_stretch(C4-H7),49.723,near_degenerate_within_10_cm-1; mode_level_warning_present
DMF_freq.hess,34,3155.6650167856305,C-H stretch,low,47.1,methyl_CH_stretch(C4-H6),58.61,near_degenerate_within_10_cm-1; imbalanced_XH2_pair_contributions; mode_level_warning_present
